
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"n1.1"             ,    0.01868,  7.06448E+0003,  7.19956E+0003
"n1.4"             ,    0.00020,  4.98893E+0001,  7.19956E+0003
"n1.2"             ,    0.01969,  7.20577E+0003,  7.19956E+0003
"n1.3"             ,    0.00899,  7.12717E+0003,  7.19956E+0003
"n2.1"             ,    0.04708,  6.27509E+0003,  7.19956E+0003
"n2.2"             ,    0.12338,  7.18451E+0003,  7.19956E+0003
"n2.3"             ,    0.14504,  6.16294E+0003,  7.19956E+0003
"n2.4"             ,    0.00202,  4.98911E+0002,  7.19956E+0003

Max Error =    0.14504
